sample_id,split,dialogue_id,utterance_id,utterance,emotion,emotion_id,sentiment,video_file,video_path,video_exists
train_dia0_utt0,train,0,0,also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,4,neutral,dia0_utt0.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt0.mp4,True
train_dia0_utt1,train,0,1,You must've had your hands full.,neutral,4,neutral,dia0_utt1.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt1.mp4,True
train_dia0_utt2,train,0,2,That I did. That I did.,neutral,4,neutral,dia0_utt2.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt2.mp4,True
train_dia0_utt3,train,0,3,So let's talk a little bit about your duties.,neutral,4,neutral,dia0_utt3.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt3.mp4,True
train_dia0_utt4,train,0,4,My duties? All right.,surprise,6,positive,dia0_utt4.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt4.mp4,True
train_dia0_utt5,train,0,5,"Now you'll be heading a whole division, so you'll have a lot of duties.",neutral,4,neutral,dia0_utt5.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt5.mp4,True
train_dia0_utt6,train,0,6,I see.,neutral,4,neutral,dia0_utt6.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt6.mp4,True
train_dia0_utt7,train,0,7,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,4,neutral,dia0_utt7.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt7.mp4,True
train_dia0_utt8,train,0,8,Good to know.,neutral,4,neutral,dia0_utt8.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt8.mp4,True
train_dia0_utt9,train,0,9,We can go into detail,neutral,4,neutral,dia0_utt9.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt9.mp4,True
train_dia0_utt10,train,0,10,No don't I beg of you!,fear,2,negative,dia0_utt10.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt10.mp4,True
train_dia0_utt11,train,0,11,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",neutral,4,neutral,dia0_utt11.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt11.mp4,True
train_dia0_utt12,train,0,12,Really?!,surprise,6,positive,dia0_utt12.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt12.mp4,True
train_dia0_utt13,train,0,13,Absolutely. You can relax,neutral,4,neutral,dia0_utt13.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia0_utt13.mp4,True
train_dia1_utt0,train,1,0,But then who? The waitress I went out with last month?,surprise,6,negative,dia1_utt0.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt0.mp4,True
train_dia1_utt1,train,1,1,You know? Forget it!,sadness,5,negative,dia1_utt1.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt1.mp4,True
train_dia1_utt2,train,1,2,"No-no-no-no, no! Who, who were you talking about?",surprise,6,negative,dia1_utt2.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt2.mp4,True
train_dia1_utt3,train,1,3,"No, I-I-I-I don't, I actually don't know",fear,2,negative,dia1_utt3.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt3.mp4,True
train_dia1_utt4,train,1,4,Ok!,neutral,4,neutral,dia1_utt4.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt4.mp4,True
train_dia1_utt5,train,1,5,"All right, well...",neutral,4,neutral,dia1_utt5.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt5.mp4,True
train_dia1_utt8,train,1,8,"Yeah, sure!",neutral,4,neutral,dia1_utt8.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia1_utt8.mp4,True
train_dia2_utt0,train,2,0,"Hey, Mon.",neutral,4,neutral,dia2_utt0.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt0.mp4,True
train_dia2_utt1,train,2,1,Hey-hey-hey. You wanna hear something that sucks.,neutral,4,neutral,dia2_utt1.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt1.mp4,True
train_dia2_utt2,train,2,2,Do I ever.,joy,3,positive,dia2_utt2.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt2.mp4,True
train_dia2_utt3,train,2,3,Chris says they're closing down the bar.,sadness,5,negative,dia2_utt3.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt3.mp4,True
train_dia2_utt4,train,2,4,No way!,surprise,6,negative,dia2_utt4.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt4.mp4,True
train_dia2_utt5,train,2,5,"Yeah, apparently they're turning it into some kinda coffee place.",neutral,4,neutral,dia2_utt5.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt5.mp4,True
train_dia2_utt6,train,2,6,Just coffee! Where are we gonna hang out now?,disgust,1,negative,dia2_utt6.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt6.mp4,True
train_dia2_utt7,train,2,7,Got me.,sadness,5,negative,dia2_utt7.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt7.mp4,True
train_dia2_utt8,train,2,8,Can I get a beer.,neutral,4,neutral,dia2_utt8.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt8.mp4,True
train_dia2_utt9,train,2,9,"Hey, did you pick a roommate?",neutral,4,neutral,dia2_utt9.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt9.mp4,True
train_dia2_utt10,train,2,10,You betcha!,joy,3,positive,dia2_utt10.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt10.mp4,True
train_dia2_utt11,train,2,11,Is it the Italian guy?,neutral,4,neutral,dia2_utt11.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt11.mp4,True
train_dia2_utt12,train,2,12,"Um-mm, yeah right!",joy,3,positive,dia2_utt12.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia2_utt12.mp4,True
train_dia3_utt0,train,3,0,"Oh my God, oh my God! Poor Monica!",surprise,6,negative,dia3_utt0.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia3_utt0.mp4,True
train_dia3_utt1,train,3,1,"What, what, what?!",surprise,6,negative,dia3_utt1.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia3_utt1.mp4,True
train_dia3_utt2,train,3,2,What?!,surprise,6,negative,dia3_utt2.mp4,/kaggle/input/datasets/pushkarsingh2005/meld-dataset/MELD.Raw/train/train_splits/dia3_utt2.mp4,True
